geo,TIME_PERIOD,Passengers_Mil_KM,km_railways,population,GDP_Capita,area,cars_per_capita,fuel_price,passengers_per_capita,passengers_per_km_rail,rail_density,pop_density,gdp_per_km_rail
Austria,2018,13122.0,5526.0,8822267.0,45140.0,83879.0,562.0,1.26434,1487.3728033848897,2374592.8338762214,0.06588061374122248,105.17849521334303,8.168657256605139
Austria,2019,13252.0,5615.0,8858775.0,45730.0,83879.0,566.0,1.238204081632653,1495.9178893244268,2360106.856634016,0.06694166597122045,105.61374122247523,8.144256455921639
Austria,2020,7375.0,5607.0,8901064.0,42650.0,83879.0,570.0,1.08368,828.5526314606883,1315320.1355448547,0.06684629048987231,106.11790793881663,7.606563224540753
Austria,2021,8447.0,5603.0,8932664.0,44580.0,83879.0,572.0,1.2833673469387754,945.6305532145841,1507585.2222023916,0.06679860274919824,106.49464109014176,7.956451900767446
Austria,2022,12855.0,5575.0,8978929.0,46430.0,83879.0,566.0,1.7277058823529412,1431.685226601079,2305829.5964125562,0.0664647885644798,107.04620942071317,8.328251121076233
Austria,2023,14435.0,5577.0,9104772.0,45670.0,83879.0,566.0,1.5954117647058823,1585.4323425122561,2588309.1267706654,0.06648863243481681,108.5465015081248,8.188990496682804
Austria,2024,14842.0,5624.0,9158750.0,45140.0,83879.0,569.0,1.568245283018868,1620.5268186160774,2639046.9416785208,0.0670489633877371,109.19002372465098,8.026315789473685
Belgium,2004,9225.0,3536.0,10396421.0,37440.0,30528.0,467.0,,887.324589875689,2608880.0904977378,0.11582809224318659,340.55362290356396,10.588235294117647
Belgium,2005,8510.0,3544.0,10445852.0,38100.0,30528.0,468.0,1.2219444897959182,814.6774432569024,2401241.5349887135,0.1160901467505241,342.1728249475891,10.750564334085778
Belgium,2006,8964.0,3560.0,10511382.0,38810.0,30528.0,470.0,1.292820612244898,852.789861504415,2517977.5280898875,0.11661425576519917,344.3193789308176,10.901685393258427
